Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Ederson,br BRA,GK,29-094,14,1,0,1,0,0,1,1,100,0,0,0,0,0,1,6,1,Matches
João Cancelo,pt POR,DF,28-176,12.4,28,20,16,8,4,17,23,73.9,6,5,1,4,17,45,6,1,Matches
Kevin De Bruyne,be BEL,MF,31-144,12.6,15,7,2,8,5,9,19,47.4,10,13,2,11,3,18,4,0,Matches
Rodri,es ESP,MF,26-150,12.5,26,18,11,14,1,11,18,61.1,7,18,6,12,14,40,14,0,Matches
Bernardo Silva,pt POR,"MF,FW",28-101,11.9,22,10,7,12,3,11,22,50,11,9,1,8,7,29,4,0,Matches
Erling Haaland,no NOR,FW,22-121,11.5,1,1,0,1,0,0,1,0,1,4,0,4,1,2,4,0,Matches
Phil Foden,eng ENG,"FW,DF",22-175,10.1,10,5,5,4,1,6,8,75,2,12,1,11,3,13,4,0,Matches
?lkay Gündo?an,de GER,MF,32-026,9.9,11,6,1,4,6,8,12,66.7,4,7,2,5,8,19,5,0,Matches
Rúben Dias,pt POR,DF,25-189,9.7,6,3,3,3,0,1,1,100,0,9,3,6,12,18,24,0,Matches
John Stones,eng ENG,DF,28-175,8.1,9,7,5,3,1,1,1,100,0,5,2,3,3,12,11,0,Matches
Manuel Akanji,ch SUI,DF,27-123,7.8,13,9,5,6,2,11,13,84.6,2,9,1,8,5,18,8,0,Matches
Nathan Aké,nl NED,DF,27-274,6.3,5,3,3,2,0,4,5,80,1,6,3,3,5,10,6,0,Matches
Kyle Walker,eng ENG,DF,32-175,6.2,2,1,1,1,0,0,4,0,4,1,0,1,4,6,5,0,Matches
Jack Grealish,eng ENG,FW,27-070,6.1,5,1,2,3,0,2,4,50,2,1,0,1,2,7,0,0,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-271,4.1,5,3,0,2,3,3,7,42.9,4,3,0,3,2,7,1,0,Matches
Julián Álvarez,ar ARG,"FW,MF",22-292,4,7,4,0,5,2,1,7,14.3,6,6,0,6,0,7,1,0,Matches
Aymeric Laporte,es ESP,DF,28-176,3.2,2,1,2,0,0,0,0,,0,5,2,3,1,3,10,1,Matches
Sergio Gómez,es ESP,"DF,MF",22-076,1.2,2,1,1,0,1,1,2,50,1,4,2,2,2,4,4,0,Matches
Cole Palmer,eng ENG,"FW,MF",20-197,1.2,3,1,0,1,2,1,1,100,0,0,0,0,1,4,1,0,Matches
Rico Lewis,eng ENG,"DF,MF",17-363,0.4,2,1,2,0,0,2,2,100,0,0,0,0,1,3,1,0,Matches
Kalvin Phillips,eng ENG,MF,26-352,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
