Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ederson,br BRA,GK,29-094,14,14,1260,14,0,1,0,0,0,0,0,0,0.07,0.07,0,0.07,0,0,0.2,0.2,0,0.02,0.02,0,0.02,Matches
João Cancelo,pt POR,DF,28-176,14,14,1116,12.4,2,1,2,0,0,3,1,0.16,0.08,0.24,0.16,0.24,0.7,0.7,0.8,1.5,0.06,0.06,0.12,0.06,0.12,Matches
Kevin De Bruyne,be BEL,MF,31-144,14,13,1131,12.6,3,9,3,0,0,0,0,0.24,0.72,0.95,0.24,0.95,2.5,2.5,6,8.5,0.2,0.48,0.68,0.2,0.68,Matches
Rodri,es ESP,MF,26-150,13,13,1122,12.5,0,3,0,0,0,1,0,0,0.24,0.24,0,0.24,1.2,1.2,0.8,2,0.1,0.07,0.16,0.1,0.16,Matches
Bernardo Silva,pt POR,"MF,FW",28-101,14,12,1068,11.9,2,5,2,0,0,1,0,0.17,0.42,0.59,0.17,0.59,1.3,1.3,1.8,3,0.11,0.15,0.26,0.11,0.26,Matches
Erling Haaland,no NOR,FW,22-121,13,12,1037,11.5,18,3,15,3,3,2,0,1.56,0.26,1.82,1.3,1.56,11.1,8.7,2.8,11.5,0.96,0.24,1.2,0.75,1,Matches
Phil Foden,eng ENG,"FW,DF",22-175,14,11,908,10.1,7,4,7,0,0,1,0,0.69,0.4,1.09,0.69,1.09,3.7,3.7,2,5.7,0.37,0.19,0.56,0.37,0.56,Matches
?lkay Gündo?an,de GER,MF,32-026,12,10,891,9.9,2,2,2,0,0,0,0,0.2,0.2,0.4,0.2,0.4,2.1,2.1,2.1,4.2,0.21,0.21,0.42,0.21,0.42,Matches
Rúben Dias,pt POR,DF,25-189,12,9,873,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.8,0.06,0.02,0.08,0.06,0.08,Matches
John Stones,eng ENG,DF,28-175,9,8,731,8.1,0,2,0,0,0,1,0,0,0.25,0.25,0,0.25,0.4,0.4,1.3,1.7,0.05,0.16,0.21,0.05,0.21,Matches
Manuel Akanji,ch SUI,DF,27-123,8,8,701,7.8,0,1,0,0,0,1,0,0,0.13,0.13,0,0.13,0.5,0.5,0.1,0.6,0.07,0.02,0.08,0.07,0.08,Matches
Nathan Aké,nl NED,DF,27-274,8,7,571,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.02,0.03,0.02,0.03,Matches
Kyle Walker,eng ENG,DF,32-175,7,7,560,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.05,0.02,0.07,0.05,0.07,Matches
Jack Grealish,eng ENG,FW,27-070,8,6,547,6.1,1,0,1,0,0,0,0,0.16,0,0.16,0.16,0.16,0.9,0.9,1.2,2.1,0.15,0.19,0.34,0.15,0.34,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-271,9,4,372,4.1,1,0,1,0,0,1,0,0.24,0,0.24,0.24,0.24,1.2,1.2,0.5,1.6,0.28,0.11,0.39,0.28,0.39,Matches
Julián Álvarez,ar ARG,"FW,MF",22-292,12,3,364,4,3,0,3,0,0,0,0,0.74,0,0.74,0.74,0.74,1.3,1.3,0.4,1.8,0.33,0.11,0.44,0.33,0.44,Matches
Aymeric Laporte,es ESP,DF,28-176,4,3,286,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.06,0.04,0.1,0.06,0.1,Matches
Sergio Gómez,es ESP,"DF,MF",22-076,5,0,111,1.2,0,1,0,0,0,0,0,0,0.81,0.81,0,0.81,0.1,0.1,0.4,0.5,0.11,0.33,0.44,0.11,0.44,Matches
Cole Palmer,eng ENG,"FW,MF",20-197,7,0,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.06,0.07,0.13,0.06,0.13,Matches
Rico Lewis,eng ENG,"DF,MF",17-363,3,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kalvin Phillips,eng ENG,MF,26-352,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Scott Carson,eng ENG,GK,37-077,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Liam Delap,eng ENG,FW,19-284,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Claudio Gomes,fr FRA,MF,22-119,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Knight,eng ENG,MF,20-158,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luke Mbete-Tatu,eng ENG,DF,19-062,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Stefan Ortega,de GER,GK,30-013,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Josh Wilson-Esbrand,eng ENG,DF,19-328,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
